Station.ID	Date	Depth	T
LPCR0024	4/27/2007 9:30:00	122	5.97
LPCR0024	4/27/2007 9:30:00	124.5	5.97
LPCR0024	4/27/2007 9:30:00	118.1	5.98
LPCR0024	4/27/2007 9:30:00	125.7	5.98
LPCR0024	4/27/2007 9:30:00	126.5	5.98
LPCR0024	4/27/2007 9:30:00	114.2	5.99
LPCR0024	4/27/2007 9:30:00	106.4	6
LPCR0024	4/27/2007 9:30:00	110.4	6
LPCR0024	4/27/2007 9:30:00	102.5	6.03
LPCR0024	4/27/2007 9:30:00	98.6	6.06
LPCR0024	6/9/2007 10:45:00	123.2	6.06
LPCR0024	6/9/2007 10:45:00	125.6	6.06
LPCR0024	6/9/2007 10:45:00	126.9	6.06
LPCR0024	6/9/2007 10:45:00	127.8	6.06
LPCR0024	6/9/2007 10:45:00	119.2	6.07
LPCR0024	6/9/2007 10:45:00	126.7	6.07
LPCR0024	4/27/2007 9:30:00	98.9	6.08
LPCR0024	6/9/2007 10:45:00	115.4	6.08
LPCR0024	4/27/2007 9:30:00	95.1	6.11
LPCR0024	6/9/2007 10:45:00	111.4	6.11
LPCR0024	7/19/2007 15:15:00	122.1	6.13
LPCR0024	7/19/2007 15:15:00	122.2	6.13
LPCR0024	7/19/2007 15:15:00	122.9	6.13
LPCR0024	7/19/2007 15:15:00	125.9	6.13
LPCR0024	7/19/2007 15:15:00	126.2	6.13
LPCR0024	6/9/2007 10:45:00	107.4	6.14
LPCR0024	7/19/2007 15:15:00	120.5	6.14
LPCR0024	7/19/2007 15:15:00	116.9	6.15
LPCR0024	6/9/2007 10:45:00	103.4	6.16
LPCR0024	7/19/2007 15:15:00	113	6.16
LPCR0024	7/19/2007 15:15:00	109	6.18
LPCR0024	4/27/2007 9:30:00	91	6.2
LPCR0024	6/9/2007 10:45:00	99.6	6.2
LPCR0024	7/19/2007 15:15:00	103.9	6.2
LPCR0024	7/19/2007 15:15:00	103.3	6.21
LPCR0024	7/19/2007 15:15:00	99.8	6.24
LPCR0024	6/9/2007 10:45:00	95.8	6.25
LPCR0024	7/19/2007 15:15:00	94.5	6.29
LPCR0024	6/9/2007 10:45:00	91.8	6.3
LPCR0024	4/27/2007 9:30:00	87.2	6.32
LPCR0024	7/19/2007 15:15:00	91.7	6.34
LPCR0024	6/9/2007 10:45:00	87.9	6.38
LPCR0024	4/27/2007 9:30:00	83.2	6.4
LPCR0024	7/19/2007 15:15:00	86.4	6.43
LPCR0024	6/4/2004 13:30:00	119.4	6.44
LPCR0024	6/4/2004 13:30:00	111.9	6.45
LPCR0024	6/4/2004 13:30:00	115.8	6.45
LPCR0024	6/4/2004 13:30:00	122.9	6.45
LPCR0024	7/19/2007 15:15:00	84.6	6.45
LPCR0024	5/2/2008 10:00:00	120.6	6.45
LPCR0024	5/2/2008 10:00:00	121.4	6.45
LPCR0024	6/4/2004 13:30:00	104.4	6.46
LPCR0024	6/4/2004 13:30:00	108.2	6.46
LPCR0024	5/2/2008 10:00:00	118	6.46
LPCR0024	5/2/2008 10:00:00	119.2	6.46
