BathZ,BathA
0.00,"116,951,793.67"
1.00,"116,951,793.67"
2.00,"116,951,793.67"
3.00,"116,951,793.67"
4.00,"116,951,793.67"
5.00,"116,951,793.67"
6.00,"116,913,840.46"
7.00,"116,458,945.00"
8.00,"115,723,848.52"
9.00,"114,708,551.01"
10.00,"78,002,506.00"
11.00,"68,970,695.00"
12.00,"62,284,378.00"
13.00,"56,620,071.00"
14.00,"53,048,502.00"
15.00,"50,373,433.00"
16.00,"48,206,795.00"
17.00,"47,078,284.00"
18.00,"46,075,475.00"
19.00,"44,833,849.00"
20.00,"44,135,231.00"
21.00,"43,444,575.00"
22.00,"42,372,185.00"
23.00,"41,690,005.00"
24.00,"41,001,311.00"
25.00,"39,786,123.00"
26.00,"39,075,181.00"
27.00,"38,354,823.00"
28.00,"37,108,497.00"
29.00,"36,381,787.00"
30.00,"35,646,880.00"
31.00,"34,188,368.00"
32.00,"33,410,905.00"
33.00,"32,644,119.00"
34.00,"31,489,421.00"
35.00,"30,821,065.00"
36.00,"30,148,922.00"
37.00,"29,027,371.00"
38.00,"28,415,119.00"
39.00,"27,794,641.00"
40.00,"26,831,184.00"
41.00,"26,276,302.00"
42.00,"25,717,024.00"
43.00,"24,710,461.00"
44.00,"24,192,982.00"
45.00,"23,675,437.00"
46.00,"22,687,192.00"
47.00,"22,173,941.00"
48.00,"21,661,743.00"
49.00,"20,878,198.00"
50.00,"20,462,214.00"
51.00,"20,042,832.00"
52.00,"19,197,760.00"
53.00,"18,792,851.00"
54.00,"18,382,052.00"
55.00,"17,682,000.00"
56.00,"17,307,630.00"
57.00,"16,929,935.00"
58.00,"16,234,978.00"
59.00,"15,862,017.00"
60.00,"15,479,932.00"
61.00,"14,702,083.00"
62.00,"14,340,712.00"
63.00,"13,980,233.00"
64.00,"13,398,272.00"
65.00,"13,094,465.00"
66.00,"12,784,936.00"
67.00,"12,130,213.00"
68.00,"11,812,214.00"
69.00,"11,492,635.00"
70.00,"11,171,475.00"
71.00,"10,596,736.00"
72.00,"10,307,888.00"
73.00,"10,017,820.00"
74.00,"9,391,821.00"
75.00,"9,138,687.00"
76.00,"8,887,179.00"
77.00,"8,473,623.00"
78.00,"8,265,346.00"
79.00,"8,055,034.00"
80.00,"7,643,738.00"
81.00,"7,444,669.00"
82.00,"7,242,164.00"
83.00,"6,852,605.00"
84.00,"6,660,510.00"
85.00,"6,467,096.00"
86.00,"6,078,990.00"
87.00,"5,891,615.00"
88.00,"5,700,029.00"
89.00,"5,325,853.00"
90.00,"5,115,800.00"
91.00,"4,899,621.00"
92.00,"4,413,947.00"
93.00,"4,240,109.00"
94.00,"4,066,769.00"
95.00,"3,723,734.00"
96.00,"3,586,153.00"
97.00,"3,450,046.00"
98.00,"3,210,926.00"
99.00,"3,106,841.00"
100.00,"3,005,173.00"
101.00,"2,799,286.00"
102.00,"2,708,639.00"
103.00,"2,619,162.00"
104.00,"2,381,620.00"
105.00,"2,302,518.00"
106.00,"2,221,514.00"
107.00,"2,046,403.00"
108.00,"1,983,119.00"
109.00,"1,924,793.00"
110.00,"1,791,359.00"
111.00,"1,751,138.00"
112.00,"1,710,646.00"
113.00,"1,647,254.00"
114.00,"1,615,561.00"
115.00,"1,584,321.00"
116.00,"1,523,594.00"
117.00,"1,503,734.00"
118.00,"1,483,936.00"
119.00,"1,461,382.00"
120.00,"1,445,104.00"
121.00,"1,428,850.00"
122.00,"1,412,314.00"
123.00,"1,395,036.00"
124.00,"1,377,665.00"
125.00,"1,354,186.00"
126.00,"1,337,865.00"
127.00,"1,321,541.00"
128.00,"1,291,976.00"
129.00,"1,279,051.00"
130.00,"1,266,150.00"
131.00,"1,247,098.00"
132.00,"1,236,137.00"
133.00,"1,225,183.00"
134.00,"1,214,237.00"
135.00,"1,201,890.00"
136.00,"1,190,948.00"
137.00,"1,180,015.00"
138.00,"1,165,187.00"
139.00,"1,154,509.00"
140.00,"1,143,844.00"
141.00,"1,130,516.00"
142.00,"1,119,139.00"
143.00,"1,107,769.00"
144.00,"1,089,048.00"
145.00,"1,078,596.00"
146.00,"1,068,181.00"
147.00,"1,052,090.00"
148.00,"1,042,705.00"
149.00,"1,033,302.00"
150.00,"1,020,863.00"
151.00,"1,010,663.00"
152.00,"1,000,464.00"
153.00,"987,852.00"
154.00,"977,974.00"
155.00,"968,107.00"
156.00,"954,159.00"
157.00,"943,532.00"
158.00,"932,681.00"
159.00,"915,729.00"
160.00,"906,141.00"
161.00,"896,578.00"
162.00,"883,789.00"
163.00,"873,693.00"
164.00,"863,603.00"
165.00,"850,630.00"
166.00,"839,720.00"
167.00,"828,828.00"
168.00,"808,234.00"
169.00,"797,523.00"
170.00,"786,801.00"
171.00,"771,175.00"
172.00,"760,144.00"
173.00,"749,075.00"
174.00,"731,123.00"
175.00,"720,968.00"
176.00,"710,774.00"
177.00,"693,241.00"
178.00,"682,144.00"
179.00,"670,901.00"
180.00,"653,629.00"
181.00,"639,958.00"
182.00,"626,166.00"
183.00,"604,927.00"
184.00,"586,992.00"
185.00,"568,559.00"
186.00,"529,929.00"
187.00,"506,382.00"
188.00,"482,110.00"
189.00,0.00
