"Station Group","Trip ID","Date","Station ID","Depth","Cond","pH","TSS_flg","TSS","TDS_flg","TDS","Ca_flg","Ca","Mg_flg","Mg","Na_flg","Na","K_flg","K","Cl_flg","Cl","SO4_flg","SO4","CO3_flg","CO3","HCO3_flg","HCO3","Alkalinity_flg","Alkalinity"
"LPCR0905","LP640425",4/25/1964 11:00:00,"SCUCLP14",0.00,1319.00,8.30,,,,938.00,,103.00,,42.65,,124.14,,5.86,,96.08,,415.48,,5.40,,162.30,,
"LPCR0453","LP640425",4/25/1964 12:30:00,"SCUCLP13",0.00,1328.00,8.30,,,,955.00,,105.40,,43.87,,125.98,,5.86,,93.24,,430.85,,4.50,,167.80,,
"LPCR0024","LP640425",4/25/1964 16:30:00,"SCUCLP12",0.00,1346.00,8.30,,,,963.00,,107.81,,42.89,,125.98,,5.86,,93.24,,430.85,,4.80,,169.63,,
"LPCR0024","LP641216",12/16/1964 12:00:00,"SCUCLP12",0.00,901.00,7.90,,,,612.00,,74.34,,24.18,,83.91,,4.30,,57.08,,275.22,,0.00,,129.36,,
"LPCR0024","LP641216",12/16/1964 12:00:00,"SCUCLP12",15.20,894.00,8.30,,,,612.00,,72.14,,25.52,,83.68,,4.30,,56.37,,255.53,,6.60,,141.56,,
"LPCR0024","LP641216",12/16/1964 12:00:00,"SCUCLP12",30.50,883.00,8.30,,,,602.00,,72.14,,24.18,,80.69,,4.30,,56.37,,244.00,,10.80,,133.02,,
"LPCR1692","LP650119",1/19/1965 14:30:00,"SCUCLP17",3.00,1012.00,7.90,,,,726.00,,93.58,,25.76,,91.49,,4.69,,59.21,,312.69,,0.00,,165.36,,
"LPCR1692","LP650119",1/19/1965 14:30:00,"SCUCLP17",45.70,1187.00,8.20,,,,839.00,,99.99,,33.17,,108.28,,5.08,,78.35,,346.31,,0.00,,191.59,,
"LPCR1692","LP650119",1/19/1965 14:30:00,"SCUCLP17",30.50,1173.00,8.10,,,,828.00,,97.99,,34.39,,108.51,,5.08,,77.64,,367.44,,0.00,,166.58,,
"LPCR1692","LP650119",1/19/1965 14:30:00,"SCUCLP17",15.20,1020.00,8.00,,,,734.00,,90.37,,27.70,,90.81,,4.69,,60.62,,308.36,,0.00,,166.58,,
"LPCR2387","LP650119",1/20/1965 11:30:00,"SCUCLP18",15.20,1193.00,8.20,,,,827.00,,98.99,,32.44,,115.17,,5.08,,81.19,,336.70,,0.00,,210.51,,
"LPCR2387","LP650119",1/20/1965 11:30:00,"SCUCLP18",3.00,1178.00,8.20,,,,819.00,,94.78,,33.17,,111.96,,4.69,,76.93,,327.58,,0.00,,211.12,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",30.50,930.00,8.20,,,,644.00,,81.75,,25.27,,78.85,,4.30,,59.21,,259.37,,0.00,,160.47,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",3.00,920.00,8.10,,,,632.00,,83.96,,25.27,,81.61,,4.30,,51.76,,281.95,,0.00,,158.64,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",45.70,1238.00,8.30,,,,884.00,,101.19,,37.43,,113.34,,5.08,,83.31,,365.52,,13.20,,170.24,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",15.20,930.00,8.30,,,,634.00,,80.75,,27.22,,81.61,,4.30,,59.21,,274.26,,3.60,,148.27,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",61.00,1238.00,8.20,,,,871.00,,102.19,,38.76,,113.79,,5.08,,87.92,,364.56,,0.00,,201.36,,
"LPSJR193","LP650119",1/21/1965 14:30:00,"SCUCLP15",30.50,944.00,8.10,,,,661.00,,102.19,,16.04,,85.75,,4.30,,45.38,,308.36,,0.00,,156.20,,
"LPSJR193","LP650119",1/21/1965 14:30:00,"SCUCLP15",3.00,942.00,8.10,,,,637.00,,86.16,,25.76,,83.68,,3.91,,51.05,,295.88,,0.00,,156.20,,
"LPSJR193","LP650119",1/21/1965 14:30:00,"SCUCLP15",15.20,944.00,8.10,,,,647.00,,84.96,,28.43,,83.91,,4.30,,51.76,,303.56,,0.00,,156.20,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",76.20,1195.00,7.90,,,,859.00,,101.19,,36.21,,114.02,,5.47,,82.60,,359.28,,0.00,,202.58,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",3.00,915.00,8.10,,,,625.00,,58.11,,39.61,,80.69,,3.91,,51.05,,277.14,,0.00,,156.20,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",15.20,915.00,8.20,,,,616.00,,79.55,,26.61,,81.61,,3.91,,50.34,,281.95,,0.00,,153.76,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",30.50,919.00,8.20,,,,640.00,,80.75,,30.38,,81.61,,3.91,,51.05,,297.32,,0.00,,155.59,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",45.70,924.00,8.20,,,,632.00,,79.55,,25.39,,82.99,,4.30,,49.63,,278.10,,0.00,,158.03,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",61.00,1200.00,8.30,,,,839.00,,98.99,,33.78,,111.96,,5.08,,76.22,,353.51,,11.70,,172.07,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",76.20,1150.00,7.80,,,,821.00,,102.19,,33.66,,111.73,,5.08,,74.81,,367.44,,0.00,,189.15,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",91.40,1154.00,8.00,,,,827.00,,98.99,,35.60,,110.35,,5.08,,272.28,,97.02,,0.00,,189.15,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",3.00,968.00,7.90,,,,678.00,,83.96,,27.10,,91.95,,4.69,,59.21,,297.32,,0.00,,163.53,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",61.00,1150.00,7.80,,,,825.00,,96.78,,33.90,,110.12,,5.47,,71.61,,358.32,,0.00,,187.32,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",45.70,1233.00,7.90,,,,872.00,,106.60,,35.48,,120.46,,5.47,,80.48,,395.30,,0.00,,190.37,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",30.50,983.00,7.80,,,,692.00,,83.96,,29.04,,96.09,,4.69,,65.23,,305.96,,0.00,,162.91,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",15.20,975.00,8.00,,,,666.00,,80.75,,27.82,,91.49,,4.69,,55.66,,295.88,,0.00,,164.14,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",45.70,1294.00,7.80,,,,933.00,,111.81,,38.52,,137.01,,6.64,,91.47,,445.25,,0.00,,184.88,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",3.00,1064.00,7.90,,,,742.00,,89.37,,28.92,,105.29,,5.08,,69.49,,327.58,,0.00,,169.02,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",30.50,1068.00,8.00,,,,736.00,,89.37,,28.31,,108.28,,5.08,,71.61,,328.54,,0.00,,169.02,,
