"Station Group","Trip ID","Date","Station ID","Depth","TP_flg","TP","SRP_flg","SRP","NH3-N_flg","NH3-N","NO23-N_flg","NO23-N","TKN_flg","TKN","TN_flg","TN"
"LPCR0000","LP910712",7/12/1991 8:00:00,"SCGC-145",0.00,,0.00,"<",5.0e-03,,0.01,,0.44,,0.09,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",129.80,,7.0e-03,"<",5.0e-03,"<",0.01,,0.69,,0.18,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",136.60,,7.0e-03,"<",5.0e-03,"<",0.01,,0.70,,0.13,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",38.40,"<",5.0e-03,"<",5.0e-03,,0.01,,0.44,,0.24,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",84.10,"<",5.0e-03,"<",5.0e-03,"<",0.01,,0.67,,0.21,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",114.60,,6.0e-03,"<",5.0e-03,"<",0.01,,0.70,,0.21,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",99.40,,5.0e-03,"<",5.0e-03,"<",0.01,,0.70,,0.18,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",53.60,"<",5.0e-03,"<",5.0e-03,"<",0.01,,0.50,,0.10,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",68.90,"<",5.0e-03,"<",5.0e-03,"<",0.01,,0.63,,0.20,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",0.20,,0.01,,0.02,"<",0.01,,2.0e-03,,0.27,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",23.20,,5.0e-03,"<",5.0e-03,"<",0.01,,0.23,,0.25,,
"LPCR0024","LP910930",9/30/1991 11:00:00,"SCUCLP12",7.90,,0.01,,0.01,,0.01,,0.04,,0.23,,
"LPCR0905","LP910930",10/1/1991 11:30:00,"SCUCLP14",39.00,"<",5.0e-03,"<",5.0e-03,"<",0.01,,0.46,,0.18,,
