"Lab.Maj","Cond","pH","TSS","TSS_flg","TDS","TDS_flg","Ca","Ca_flg","Mg","Mg_flg","Na","Na_flg","K","K_flg","CO3","CO3_flg","HCO3","HCO3_flg","Alkalinity","Alkalinity_flg","Cl","Cl_flg","SO4","SO4_flg","SiO2","SiO2_flg","Fe","Fe_flg"
"042512",960.00,7.46,2.00,"<",,,87.70,,26.50,,82.00,,4.02,,1.40,"<",191.00,,157.00,,72.10,,250.00,,6.60,,7.20,
"042513",857.00,7.73,2.00,"<",,,69.20,,24.50,,74.00,,3.97,,1.40,"<",157.00,,129.00,,51.10,,240.00,,4.60,,1.00,"<"
"042514",845.00,7.74,2.00,"<",,,72.70,,24.70,,74.50,,4.96,,1.40,"<",151.00,,124.00,,55.10,,247.00,,4.10,,2.42,
"042515",866.00,7.67,2.00,,,,70.10,,25.00,,76.00,,4.02,,1.40,"<",161.00,,132.00,,51.10,,252.00,,3.90,,1.39,
"042516",948.00,7.48,2.00,,,,80.70,,26.30,,82.00,,4.01,,1.40,"<",183.00,,150.00,,71.10,,235.00,,5.50,,1.60,
"042517",965.00,7.42,2.50,,,,78.70,,27.00,,83.00,,3.97,,1.40,"<",182.00,,150.00,,79.10,,265.00,,5.00,,1.00,"<"
"042518",908.00,7.48,2.50,,,,74.70,,25.40,,77.50,,3.92,,1.40,"<",171.00,,140.00,,60.10,,250.00,,4.30,,5.30,
"042519",850.00,7.69,2.00,"<",,,63.90,,24.80,,74.50,,4.92,,1.40,"<",155.00,,127.00,,55.10,,232.00,,3.00,"<",1.75,
"042520",960.00,7.48,2.00,"<",,,75.60,,26.60,,82.50,,4.02,,1.40,"<",183.00,,150.00,,70.10,,255.00,,3.60,,3.45,
"042521",863.00,7.67,2.00,"<",,,64.70,,24.50,,74.50,,3.90,,1.40,"<",156.00,,128.00,,57.10,,227.00,,3.00,"<",4.00,
"042522",853.00,7.60,2.00,"<",,,69.80,,24.30,,72.00,,3.92,,1.40,"<",161.00,,132.00,,51.10,,232.00,,6.00,,1.00,"<"
"042523",833.00,7.77,2.70,,,,66.80,,24.10,,72.00,,3.86,,1.40,"<",154.00,,126.00,,52.10,,227.00,,6.00,,1.63,
"042524",834.00,7.76,2.00,"<",,,67.00,,24.20,,73.00,,3.87,,1.40,"<",162.00,,133.00,,54.10,,230.00,,5.90,,11.70,
