"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"042512",0.01,,2.0e-03,,0.02,,0.51,,0.38,,,
"042513",0.01,,2.0e-03,,0.06,,0.33,,0.33,,,
"042514",0.01,,2.0e-03,"<",0.05,,0.21,,0.26,,,
"042515",0.01,,2.0e-03,"<",0.03,,0.27,,0.20,,,
"042516",0.03,,2.0e-03,"<",0.08,,0.52,,0.32,,,
"042517",0.03,,3.0e-03,,0.03,,0.53,,0.35,,,
"042518",0.01,,2.0e-03,"<",0.02,,0.47,,0.34,,,
"042519",0.01,,2.0e-03,"<",0.08,,0.26,,0.29,,,
"042520",2.0e-03,"<",2.0e-03,,0.03,,0.55,,0.37,,,
"042521",2.0e-03,"<",2.0e-03,"<",0.02,,0.28,,,,,
"042522",0.01,,2.0e-03,,0.03,,0.35,,0.23,,,
"042523",0.01,,2.0e-03,"<",0.02,"<",0.24,,0.23,,,
"042524",0.02,,2.0e-03,"<",0.02,"<",0.34,,0.26,,,
"042525",0.03,,2.0e-03,,0.02,"<",0.58,,0.24,,,
"042526",0.04,,5.0e-03,,0.05,,0.59,,0.25,,,
"042527",0.01,,2.0e-03,"<",0.02,"<",0.36,,0.27,,,
"042528",0.01,,2.0e-03,"<",0.02,"<",0.51,,0.21,,,
"042529",0.02,,3.0e-03,,0.02,"<",0.54,,0.21,,,
"042532",0.02,,2.0e-03,"<",0.07,,0.46,,0.25,,,
"042533",0.03,,3.0e-03,,0.02,"<",0.60,,0.21,,,
"042534",0.02,,4.0e-03,,0.02,"<",0.54,,0.23,,,
"042535",0.01,,2.0e-03,,0.02,"<",0.38,,0.20,,,
"042536",0.05,,6.0e-03,,0.02,"<",0.50,,0.18,,,
"042537",0.15,,6.0e-03,,0.02,"<",0.52,,0.20,,,
"042538",0.02,,2.0e-03,,0.02,"<",0.43,,0.20,,,
"042539",0.08,,2.0e-03,"<",0.02,"<",0.33,,0.34,,,
"042540",0.23,,2.0e-03,,0.14,,0.35,,0.52,,,
"042541",0.02,,2.0e-03,,0.02,"<",0.40,,0.32,,,
"042542",0.04,,7.0e-03,,0.06,,0.51,,0.35,,,
"042543",0.05,,3.0e-03,,0.02,"<",0.51,,0.54,,,
"042544",0.02,,2.0e-03,"<",0.02,,0.47,,0.56,,,
"042545",0.07,,7.0e-03,,0.02,"<",0.53,,1.01,,,
"042546",0.15,,0.01,,0.02,"<",0.56,,0.31,,,
