"Station ID","Date","Observer","Scope?","Secchi Depth","Conditions"
"SCUCLP12",11/26/1984 23:00:00,"AA",0,3.70,
"SCUCLP13",11/27/1984 10:00:00,"AA",0,6.90,
"SCUCLP14",11/27/1984 11:51:00,"AA",0,4.60,
"SCUCLP16",11/27/1984 13:30:00,"AA",0,3.00,
"SCUCLP18",11/28/1984 9:00:00,"AA",0,1.40,
"SCUCLP17",11/29/1984 7:40:00,"AA",0,1.80,
"SCUCLP15",11/29/1984 11:00:00,"AA",0,4.30,
"SCUCLP12",6/11/1985 8:15:00,"AA",0,7.00,
"SCUCLP13",6/11/1985 11:00:00,"AA",0,5.20,
"SCUCLP14",6/11/1985 12:30:00,"AA",0,3.00,
"SCUCLP16",6/11/1985 14:00:00,"AA",0,3.00,
"SCUCLP18",6/12/1985 9:00:00,"AA",0,0.30,
"SCUCLP15",6/12/1985 10:30:00,"AA",0,4.00,
"SCUCLP35",6/12/1985 11:00:00,"AA",0,0.20,
"SCUCLP17",6/13/1985 7:30:00,"AA",0,1.80,
"SCUCLP13",9/17/1985 11:15:00,"AA",0,9.10,
"SCUCLP18",9/18/1985 10:00:00,"AA",0,2.30,
"SCUCLP35",9/18/1985 12:05:00,"AA",0,1.50,
"SCUCLP17",9/18/1985 15:15:00,"AA",0,4.00,
"SCUCLP16",9/19/1985 9:15:00,"AA",0,6.60,
"SCESC212",9/19/1985 12:10:00,"AA",0,0.90,
"SCESC055",9/19/1985 12:30:00,"AA",0,2.70,
"SCUCLP15",9/19/1985 14:35:00,"AA",0,10.50,
"SCUCLP14",9/20/1985 9:25:00,"AA",0,6.70,
"SCUCLP12",12/10/1985 8:00:00,"AA",0,5.80,
"SCUCLP13",12/10/1985 10:00:00,"AA",0,6.60,
"SCUCLP14",12/10/1985 12:30:00,"AA",0,7.30,
"SCUCLP17",12/11/1985 11:00:00,"AA",0,2.70,
"SCUCLP35",12/12/1985 11:30:00,"AA",0,1.20,
"SCUCLP18",12/13/1985 8:00:00,"AA",0,1.80,
"SCUCLP16",12/13/1985 12:30:00,"AA",0,7.60,
"SCUCLP15",12/14/1985 8:00:00,"AA",0,6.70,
"SCUCLP14",3/11/1986 12:10:00,"AA",0,7.90,
"SCUCLP17",3/12/1986 7:00:00,"AA",0,8.50,
"SCUCLP16",3/13/1986 10:00:00,"AA",0,11.00,
"SCUCLP13",3/14/1986 7:20:00,"AA",0,9.40,
"SCUCLP15",3/14/1986 12:10:00,"AA",0,10.10,
"SCUCLP12",6/24/1986 10:00:00,"AA",0,6.40,
"SCUCLP13",6/24/1986 11:20:00,"AA",0,5.30,
"SCUCLP14",6/24/1986 13:30:00,"AA",0,4.30,
"SCUCLP16",6/24/1986 15:00:00,"AA",0,4.30,
"SCUCLP17",6/25/1986 8:15:00,"AA",0,2.30,
"SCUCLP18",6/25/1986 11:00:00,"AA",0,0.70,
"SCUCLP15",6/26/1986 10:30:00,"AA",0,6.20,
"SCUCLP13",11/4/1986 9:30:00,"AA",0,9.40,
"SCUCLP16",11/4/1986 14:30:00,"AA",0,7.90,
"SCUCLP35",11/5/1986 11:00:00,"AA",0,1.70,
"SCUCLP18",11/5/1986 12:30:00,"AA",0,2.30,
"SCUCLP17",11/6/1986 6:45:00,"AA",0,6.10,
"SCUCLP15",11/6/1986 10:45:00,"AA",0,9.10,
"SCUCLP12",11/7/1986 9:30:00,"AA",0,7.60,
"SCUCLP12",3/10/1987 9:30:00,"AA",0,14.00,
"SCUCLP13",3/10/1987 13:30:00,"AA",0,13.10,
"SCUCLP12",3/11/1987 9:30:00,"AA",0,14.00,
"SCUCLP35",3/11/1987 16:00:00,"AA",0,0.50,
"SCUCLP18",3/12/1987 6:30:00,"AA",0,6.40,
"SCUCLP17",3/12/1987 10:45:00,"AA",0,10.10,
"SCUCLP16",3/12/1987 13:45:00,"AA",0,9.80,
"SCUCLP15",3/12/1987 15:45:00,"AA",0,9.80,
"SCUCLP14",3/13/1987 8:15:00,"AA",0,8.80,
"SCUCLP12",12/1/1987 9:30:00,"AA",0,7.20,
"SCUCLP35",12/2/1987 10:30:00,"AA",0,1.80,
"SCUCLP18",12/2/1987 14:00:00,"AA",0,3.70,
"SCUCLP17",12/3/1987 6:45:00,"AA",0,6.10,
"SCUCLP16",12/3/1987 10:30:00,"AA",0,10.10,
"SCUCLP15",12/3/1987 11:30:00,"AA",0,9.40,
"SCUCLP14",12/3/1987 13:00:00,"AA",0,9.80,
"SCUCLP12",4/5/1988 9:45:00,"AA",0,14.30,
"SCUCLP13",4/5/1988 13:45:00,"AA",0,12.50,
"SCUCLP18",4/6/1988 15:00:00,"AA",0,10.70,
"SCUCLP17",4/7/1988 9:45:00,"AA",0,9.80,
"SCUCLP16",4/7/1988 13:30:00,"AA",0,15.80,
"SCUCLP15",4/8/1988 7:30:00,"AA",0,13.40,
"SCUCLP14",4/8/1988 9:30:00,"AA",0,12.80,
"SCUCLP01",2/22/1989 8:00:00,"AA",0,13.40,
"SCNAV000",2/22/1989 9:00:00,"AA",0,13.70,
"SCUCLP13",4/3/1989 13:00:00,"AA",0,12.20,
"SCUCLP14",4/4/1989 9:00:00,"AA",0,12.50,
"SCUCLP16",4/4/1989 11:30:00,"AA",0,14.00,
"SCUCLP35",4/5/1989 10:00:00,"AA",0,0.50,
"SCUCLP18",4/5/1989 16:30:00,"AA",0,1.70,
"SCUCLP17",4/6/1989 8:30:00,"AA",0,12.80,
"SCUCLP15",4/6/1989 13:00:00,"AA",0,15.80,
"SCUCLP12",4/7/1989 10:00:00,"AA",0,14.20,
"SCUCLP12",11/27/1989 9:00:00,"AA",0,5.50,
"SCUCLP13",11/27/1989 13:00:00,"AA",0,11.30,
"SCUCLP16",11/28/1989 11:00:00,"AA",0,12.20,
"SCUCLP35",11/29/1989 10:00:00,"AA",0,1.80,
"SCUCLP18",11/29/1989 13:00:00,"AA",0,2.70,
"SCUCLP17",11/30/1989 8:00:00,"AA",0,6.10,
"SCUCLP15",11/30/1989 11:00:00,"AA",0,9.80,
"SCUCLP14",12/1/1989 10:00:00,"AA",0,11.30,
"SCUCLP14",12/4/1990 10:30:00,"AA",0,11.70,
"SCUCLP16",12/4/1990 14:00:00,"AA",0,12.60,
"SCCR1180",12/5/1990 10:00:00,"AA",0,4.60,
"SCUCLP18",12/5/1990 14:30:00,"AA",0,2.00,
"SCUCLP17",12/6/1990 8:00:00,"AA",0,4.10,
"SCUCLP15",12/6/1990 13:00:00,"AA",0,8.50,
"SCSJR161",12/6/1990 14:30:00,"AA",0,6.70,
"SCUCLP13",12/7/1990 10:45:00,"AA",0,12.30,
"SCUCLP12",12/7/1990 13:30:00,"AA",0,9.10,
"SCUCLP01",12/7/1990 15:00:00,"AA",0,7.70,
"SCUCLP01",5/22/1991 11:30:00,"AA",0,11.60,
"SCUCLP12",9/30/1991 11:00:00,"AA",0,5.50,
"SCUCLP14",10/1/1991 11:30:00,"AA",0,9.40,
"SCUCLP16",10/1/1991 14:00:00,"AA",0,7.90,
"SCESC055",10/1/1991 16:30:00,"AA",0,6.40,
"SCUCLP17",10/2/1991 10:00:00,"AA",0,7.30,
"SCUCLP18",10/2/1991 15:00:00,"AA",0,2.60,
"SCCR1440",10/2/1991 16:00:00,"AA",0,0.10,
"SCCR1280",10/3/1991 7:00:00,"AA",0,3.00,
"SCCR1180",10/3/1991 8:10:00,"AA",0,5.80,
"SCSJR420",10/4/1991 7:45:00,"AA",0,0.80,
"SCSJR400",10/4/1991 8:10:00,"AA",0,1.40,
"SCSJR350",10/4/1991 9:05:00,"AA",0,2.10,
"SCSJR250",10/4/1991 10:30:00,"AA",0,5.00,
"SCSJR180",10/4/1991 11:11:00,"AA",0,11.00,
"SCUCLP15",10/4/1991 12:15:00,"AA",0,9.10,
"SCUCLP13",10/5/1991 9:50:00,"AA",0,7.90,
"SCUCLP12",11/1/1991 13:00:00,"AA",0,10.39,
"SCUCLP12",12/4/1991 12:30:00,"AA",0,13.10,
"SCUCLP12",1/3/1992 9:30:00,"AA",0,9.10,
"SCUCLP01",1/3/1992 11:00:00,"AA",0,9.40,
"SCUCLP13",1/27/1992 15:30:00,"AA",0,11.30,
"SCUCLP14",1/28/1992 8:45:00,"AA",0,7.30,
"SCUCLP16",1/28/1992 12:00:00,"AA",0,7.80,
"SCESC055",1/28/1992 13:30:00,"AA",0,7.30,
"SCCR1420",1/29/1992 10:45:00,"AA",0,0.60,
"SCUCLP18",1/29/1992 12:00:00,"AA",0,3.20,
"SCCR1280",1/29/1992 13:30:00,"AA",0,3.70,
"SCCR1180",1/29/1992 15:00:00,"AA",0,6.20,
"SCUCLP17",1/30/1992 9:30:00,"AA",0,5.90,
"SCUCLP15",1/30/1992 14:00:00,"AA",0,5.60,
"SCSJR400",1/31/1992 10:00:00,"AA",0,2.10,
"SCSJR350",1/31/1992 11:00:00,"AA",0,7.20,
"SCSJR250",1/31/1992 12:30:00,"AA",0,7.60,
"SCSJR180",1/31/1992 13:30:00,"AA",0,7.00,
"SCNAV075",2/1/1992 14:00:00,"AA",0,6.40,
"SCNAV015",2/1/1992 14:45:00,"AA",0,11.00,
"SCUCLP12",2/1/1992 16:00:00,"AA",0,7.50,
"SCGC-145",2/6/1992 9:30:00,"AA",0,5.20,
"SCUCLP01",3/3/1992 10:15:00,"AA",0,13.10,
"SCUCLP12",3/3/1992 12:15:00,"RL",0,11.30,
"SCUCLP12",4/3/1992 11:15:00,"JK",0,12.50,
"SCUCLP01",4/3/1992 13:20:00,"AA",0,12.80,
"SCSJR420",4/24/1992 9:20:00,"AA",0,0.01,
"SCSJR400",4/24/1992 9:30:00,"AA",0,0.10,
"SCSJR350",4/24/1992 13:30:00,"AA",0,0.75,
"SCSJR250",4/24/1992 15:30:00,"AA",0,2.30,
"SCSJR180",4/24/1992 17:00:00,"AA",0,5.80,
"SCUCLP15",4/25/1992 9:00:00,"AA",0,9.40,
"SCCR1180",4/26/1992 12:00:00,"AA",0,3.30,
"SCCR1410",4/26/1992 17:00:00,"AA",0,0.04,
"SCCR1420",4/26/1992 17:50:00,"AA",0,0.04,
"SCCR1390",4/27/1992 9:00:00,"AA",0,0.28,
"SCCR1370",4/27/1992 9:35:00,"AA",0,0.28,
"SCUCLP18",4/27/1992 10:30:00,"AA",0,0.61,
"SCCR1280",4/27/1992 12:00:00,"AA",0,0.90,
"SCUCLP17",4/28/1992 12:30:00,"AA",0,11.90,
"SCUCLP16",4/28/1992 16:00:00,"AA",0,10.50,
"SCESC130",4/29/1992 9:00:00,"AA",0,0.31,
"SCESC120",4/29/1992 10:00:00,"AA",0,1.50,
